id,station_name,code,longitude,latitude,elevation,Date,Rainfall_avg,Temp_Max,Temp_Min,Thunderstrom
43486,RATNAPURA,5,80.4,6.68,,8/31/2016,27.8,29.6,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,09/01/2016,5.3,30.6,23,NO
43486,RATNAPURA,5,80.4,6.68,,09/02/2016,4.6,27.4,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,09/03/2016,0,30.6,22.9,NO
43486,RATNAPURA,5,80.4,6.68,,09/04/2016,0,30.7,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,09/05/2016,0,32.1,22.7,NO
43486,RATNAPURA,5,80.4,6.68,,09/06/2016,0,32.1,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,09/07/2016,0,32.1,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,09/08/2016,0,31.7,22.7,NO
43486,RATNAPURA,5,80.4,6.68,,09/09/2016,0,31.9,21.3,NO
43486,RATNAPURA,5,80.4,6.68,,09/10/2016,0.1,32.7,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,09/11/2016,0,32.2,23.1,NO
43486,RATNAPURA,5,80.4,6.68,,09/12/2016,6.3,31.8,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,9/13/2016,0.7,31.1,23.5,NO
43486,RATNAPURA,5,80.4,6.68,,9/14/2016,2.1,31,24.3,NO
43486,RATNAPURA,5,80.4,6.68,,9/15/2016,0.2,30.3,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,9/16/2016,2.2,32.6,24,NO
43486,RATNAPURA,5,80.4,6.68,,9/17/2016,2.1,31.4,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,9/18/2016,1.4,29.6,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,9/19/2016,0.2,31.6,23,NO
43486,RATNAPURA,5,80.4,6.68,,9/20/2016,0.2,32,24.8,NO
43486,RATNAPURA,5,80.4,6.68,,9/21/2016,0,31.6,24.9,NO
43486,RATNAPURA,5,80.4,6.68,,9/22/2016,0,32.5,25,NO
43486,RATNAPURA,5,80.4,6.68,,9/23/2016,0.1,31.1,24.3,NO
43486,RATNAPURA,5,80.4,6.68,,9/24/2016,0,33,24.6,NO
43486,RATNAPURA,5,80.4,6.68,,9/25/2016,0.1,32.7,24.6,NO
43486,RATNAPURA,5,80.4,6.68,,9/26/2016,9.7,34.3,24,NO
43486,RATNAPURA,5,80.4,6.68,,9/27/2016,9.2,31.7,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,9/28/2016,4.5,31.1,23.2,NO
43486,RATNAPURA,5,80.4,6.68,,9/29/2016,45,31.1,24,NO
43486,RATNAPURA,5,80.4,6.68,,9/30/2016,7.7,29.4,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,10/01/2016,3.9,32.1,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,10/02/2016,5.5,31.3,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,10/03/2016,0.1,31.9,22.6,NO
43486,RATNAPURA,5,80.4,6.68,,10/04/2016,0,32.8,21.9,NO
43486,RATNAPURA,5,80.4,6.68,,10/05/2016,2.6,32.1,22.6,NO
43486,RATNAPURA,5,80.4,6.68,,10/06/2016,0.3,32.3,23.2,NO
43486,RATNAPURA,5,80.4,6.68,,10/07/2016,0,32.3,22.5,NO
43486,RATNAPURA,5,80.4,6.68,,10/08/2016,8.3,33.4,21.2,NO
43486,RATNAPURA,5,80.4,6.68,,10/09/2016,1.9,31.5,22.9,NO
43486,RATNAPURA,5,80.4,6.68,,10/10/2016,0,32.8,24,NO
43486,RATNAPURA,5,80.4,6.68,,10/11/2016,0,33.5,22.4,NO
43486,RATNAPURA,5,80.4,6.68,,10/12/2016,0,33.3,23,NO
43486,RATNAPURA,5,80.4,6.68,,10/13/2016,9.5,32.4,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,10/14/2016,0.1,31.5,23.1,NO
43486,RATNAPURA,5,80.4,6.68,,10/15/2016,0.1,32.7,23,NO
43486,RATNAPURA,5,80.4,6.68,,10/16/2016,8.2,32.3,23.5,NO
43486,RATNAPURA,5,80.4,6.68,,10/17/2016,0.9,33.1,23.1,NO
43486,RATNAPURA,5,80.4,6.68,,10/18/2016,0,32.5,24.1,NO
43486,RATNAPURA,5,80.4,6.68,,10/19/2016,0,30.9,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,10/20/2016,0,31.8,22.7,NO
43486,RATNAPURA,5,80.4,6.68,,10/21/2016,1.8,32.3,22.8,NO
43486,RATNAPURA,5,80.4,6.68,,10/22/2016,9.4,29.9,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,10/23/2016,35.2,30,23,NO
43486,RATNAPURA,5,80.4,6.68,,10/24/2016,39.6,29.3,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,10/25/2016,0.3,31.1,22.8,NO
43486,RATNAPURA,5,80.4,6.68,,10/26/2016,0,32.4,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,10/27/2016,0,32.4,22.4,NO
43486,RATNAPURA,5,80.4,6.68,,10/28/2016,0,32.5,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,10/29/2016,9.4,31.3,22.9,NO
43486,RATNAPURA,5,80.4,6.68,,10/30/2016,2.4,31.1,23.5,NO
43486,RATNAPURA,5,80.4,6.68,,10/31/2016,16.7,31.7,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,11/01/2016,20.1,32.3,23,NO
43486,RATNAPURA,5,80.4,6.68,,11/02/2016,1.9,32.1,22.3,NO
43486,RATNAPURA,5,80.4,6.68,,11/03/2016,0,30.9,22.9,NO
43486,RATNAPURA,5,80.4,6.68,,11/04/2016,39.1,30.3,23,NO
43486,RATNAPURA,5,80.4,6.68,,11/05/2016,51.5,28.7,22.1,NO
43486,RATNAPURA,5,80.4,6.68,,11/06/2016,7.4,25,23.2,NO
43486,RATNAPURA,5,80.4,6.68,,11/07/2016,0.1,32.1,22.6,NO
43486,RATNAPURA,5,80.4,6.68,,11/08/2016,8.5,33.1,23.2,NO
43486,RATNAPURA,5,80.4,6.68,,11/09/2016,0.6,33,21.8,NO
43486,RATNAPURA,5,80.4,6.68,,11/10/2016,0,33.6,22.3,NO
43486,RATNAPURA,5,80.4,6.68,,11/11/2016,6.5,32.9,23.2,NO
43486,RATNAPURA,5,80.4,6.68,,11/12/2016,14.6,32.3,24.3,NO
43486,RATNAPURA,5,80.4,6.68,,11/13/2016,1.6,30.6,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,11/14/2016,1.6,32.1,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,11/15/2016,60,32.6,23.7,NO
43486,RATNAPURA,5,80.4,6.68,,11/16/2016,3.8,32.3,22.3,NO
